Region,cond,suvr,ratio,suvrd
R_M1_PSAM_deltaSUV>0.47,Veh,112.72,100,0
L_M1_Ctrl,Veh,111.65,100,0
R_M1_PSAM_deltaSUV>0.47,u817-100,133.52,118.4528034,18.45280341
L_M1_Ctrl,u817-100,112.77,101.0031348,1.003134796
