params,map,mean,median,sd,q_0025,q_0975,ess_tail95,r_hat
a,0.008039492612595261,0.008058842522,0.0080568,2.692709357120825e-4,0.007532020750000001,0.008601,11008.640987088113,1.000002556239052
b,0.8211084226465506,0.93630033945,0.870174,0.7675848394881236,0.62284985,1.4136334999999989,2771.1957190469393,1.0001664013543468
c,4.025990521018278,4.010202733,4.011875,0.269738492182408,3.47025625,4.5421337500000005,8499.805729730542,1.0000284208281678
