date,ROI,value,time,injection,pre
20220414,Lt_CAU,0.9954402154826798,-14,15,1.0000000093599999
20220414,Lt_CAU,0.9977709160608643,-13,15,1.0000000093599999
20220414,Lt_CAU,1.0012366876284247,-12,15,1.0000000093599999
20220414,Lt_CAU,1.0038165956042766,-11,15,1.0000000093599999
20220414,Lt_CAU,1.0022197076192236,-10,15,1.0000000093599999
20220414,Lt_CAU,1.000140399638686,-9,15,1.0000000093599999
20220414,Lt_CAU,0.9987208749519727,-8,15,1.0000000093599999
20220414,Lt_CAU,0.9977947976606408,-7,15,1.0000000093599999
20220414,Lt_CAU,0.9998661980412524,-6,15,1.0000000093599999
20220414,Lt_CAU,1.0044178075986494,-5,15,1.0000000093599999
20220414,Lt_CAU,0.9992942915466055,-4,15,1.0000000093599999
20220414,Lt_CAU,1.0019302676219328,-3,15,1.0000000093599999
20220414,Lt_CAU,1.0030281446116567,-2,15,1.0000000093599999
20220414,Lt_CAU,0.9969825055682439,-1,15,1.0000000093599999
20220414,Lt_CAU,0.9973405903648922,0,15,1.0000000093599999
20220414,Lt_CAU,0.999145200448001,1,15,1.0000000093599999
20220414,Lt_CAU,1.0007906656325996,2,15,1.0000000093599999
20220414,Lt_CAU,1.0008187996323363,3,15,1.0000000093599999
20220414,Lt_CAU,1.002495636616641,4,15,1.0000000093599999
20220414,Lt_CAU,0.9953326886836862,5,15,1.0000000093599999
20220414,Lt_CAU,0.9980856881579181,6,15,1.0000000093599999
20220414,Lt_CAU,1.0007357706331135,7,15,1.0000000093599999
20220414,Lt_CAU,1.0045057445978263,8,15,1.0000000093599999
20220414,Lt_CAU,1.0058117615856021,9,15,1.0000000093599999
20220414,Lt_CAU,1.0029040486128182,10,15,1.0000000093599999
20220414,Lt_CAU,1.000951300631096,11,15,1.0000000093599999
20220414,Lt_CAU,1.0001619166384847,12,15,1.0000000093599999
20220414,Lt_CAU,1.0041357186012898,13,15,1.0000000093599999
20220414,Lt_CAU,0.9947564707890795,14,15,1.0000000093599999
20220414,Lt_CAU,1.0042688356000438,15,15,1.0000000093599999
20220414,Lt_CAU,1.0008224946323017,16,15,1.0000000093599999
20220414,Lt_CAU,1.0048894785942346,17,15,1.0000000093599999
20220414,Lt_CAU,0.9982050563568008,18,15,1.0000000093599999
20220414,Lt_CAU,1.0005805196345665,19,15,1.0000000093599999
20220414,Lt_CAU,1.0006452706339604,20,15,1.0000000093599999
20220414,Lt_CAU,1.0008496946320469,21,15,1.0000000093599999
20220414,Lt_CAU,0.998229613456571,22,15,1.0000000093599999
20220414,Lt_CAU,1.0014267666266456,23,15,1.0000000093599999
20220414,Lt_CAU,1.0037877466045466,24,15,1.0000000093599999
20220414,Lt_CAU,1.0014353896265649,25,15,1.0000000093599999
20220414,Lt_CAU,0.9986373887527541,26,15,1.0000000093599999
20220414,Lt_CAU,0.9992349252471612,27,15,1.0000000093599999
20220414,Lt_CAU,1.0011934546288292,28,15,1.0000000093599999
20220414,Lt_CAU,1.001277039628047,29,15,1.0000000093599999
20220414,Lt_CAU,0.9978314743602975,30,15,1.0000000093599999
20220414,Lt_CAU,0.9975909099625492,31,15,1.0000000093599999
20220414,Lt_CAU,0.9991821553476551,32,15,1.0000000093599999
20220414,Lt_CAU,0.9996343757434224,33,15,1.0000000093599999
20220414,Lt_CAU,0.9957402056798718,34,15,1.0000000093599999
20220414,Lt_CAU,0.9968386993695899,35,15,1.0000000093599999
20220414,Lt_CAU,0.9995416706442901,36,15,1.0000000093599999
20220414,Lt_CAU,0.9965429212723583,37,15,1.0000000093599999
20220414,Lt_CAU,1.0025761626158871,38,15,1.0000000093599999
20220414,Lt_CAU,0.9987889633513354,39,15,1.0000000093599999
20220414,Lt_CAU,0.998288681656018,40,15,1.0000000093599999
20220414,Lt_M1_leg,1.0058856597965062,-14,15,0.9999999892666667
20220414,Lt_M1_leg,1.00012640973469,-13,15,0.9999999892666667
20220414,Lt_M1_leg,1.002538885760584,-12,15,0.9999999892666667
20220414,Lt_M1_leg,1.000333904736917,-11,15,0.9999999892666667
20220414,Lt_M1_leg,1.0011675237458648,-10,15,0.9999999892666667
20220414,Lt_M1_leg,0.9991869698246068,-9,15,0.9999999892666667
20220414,Lt_M1_leg,1.0009059827430575,-8,15,0.9999999892666667
20220414,Lt_M1_leg,0.9996343548294087,-7,15,0.9999999892666667
20220414,Lt_M1_leg,0.9977132934087893,-6,15,0.9999999892666667
20220414,Lt_M1_leg,1.0001211647346337,-5,15,0.9999999892666667
20220414,Lt_M1_leg,0.998552418817796,-4,15,0.9999999892666667
20220414,Lt_M1_leg,0.9979824903116787,-3,15,0.9999999892666667
20220414,Lt_M1_leg,0.9976135562077189,-2,15,0.9999999892666667
20220414,Lt_M1_leg,0.9994080583269799,-1,15,0.9999999892666667
20220414,Lt_M1_leg,0.9988293270207682,0,15,0.9999999892666667
20220414,Lt_M1_leg,0.9960337499907623,1,15,0.9999999892666667
20220414,Lt_M1_leg,0.9983442905155621,2,15,0.9999999892666667
20220414,Lt_M1_leg,0.9986766870191298,3,15,0.9999999892666667
20220414,Lt_M1_leg,0.99803292331222,4,15,0.9999999892666667
20220414,Lt_M1_leg,0.9970797780019897,5,15,0.9999999892666667
20220414,Lt_M1_leg,0.9941383557704183,6,15,0.9999999892666667
20220414,Lt_M1_leg,0.9948671082782403,7,15,0.9999999892666667
20220414,Lt_M1_leg,0.9978253278099919,8,15,0.9999999892666667
20220414,Lt_M1_leg,0.9968449244994688,9,15,0.9999999892666667
